,scenario,plan,worker,syncthreadpoolsize,image,notes,http_reqs_count,http_reqs_rate,checks_passes,checks_fails,iterations_count,iterations_rate,virtual_users_max,virtual_users_min,virtual_users_max_max,virtual_users_max_min,http_req_blocked_avg,http_req_blocked_max,http_req_blocked_med,http_req_blocked_min,http_req_blocked_p90,http_req_blocked_p95,http_req_connecting_avg,http_req_connecting_max,http_req_connecting_med,http_req_connecting_min,http_req_connecting_p90,http_req_connecting_p95,http_req_duration_avg,http_req_duration_max,http_req_duration_med,http_req_duration_min,http_req_duration_p90,http_req_duration_p95,http_req_receiving_avg,http_req_receiving_max,http_req_receiving_med,http_req_receiving_min,http_req_receiving_p90,http_req_receiving_p95,http_req_sending_avg,http_req_sending_max,http_req_sending_med,http_req_sending_min,http_req_sending_p90,http_req_sending_p95,http_req_tls_handshaking_avg,http_req_tls_handshaking_max,http_req_tls_handshaking_med,http_req_tls_handshaking_min,http_req_tls_handshaking_p90,http_req_tls_handshaking_p95,http_req_waiting_avg,http_req_waiting_max,http_req_waiting_med,http_req_waiting_min,http_req_waiting_p90,http_req_waiting_p95,iteration_duration_avg,iteration_duration_max,iteration_duration_med,iteration_duration_min,iteration_duration_p90,iteration_duration_p95
10,asynccpuintensive,consumption,4,5,pywinder-wrk4-stp-none,,631,2.075426170674062,631,0,631,2.075426170674062,25,1,25,25,0.023541996830428003,0.897,0.002,0.001,0.003,0.005,0.014939778129952001,0.525,0.0,0.0,0.0,0.0,10642.514076069721,16700.169,11003.975,371.817,14979.947,15884.263500000001,0.47032171156893804,79.135,0.051000000000000004,0.022,0.228,0.42350000000000004,0.018380348652931002,0.159,0.015,0.01,0.02,0.028999999999999002,0,0,0,0,0,0,10642.0253740095,16699.862,11003.919,371.747,14979.885,15884.2,10642.3388123756,16699.773605,11003.752268,371.899495,14979.608656,15883.909904
11,asynchelloworld,ep3,4,10,pywinder-wrk4-stp-10,,136172,453.858400338652,272344,0,136172,453.858400338652,100,1,100,100,0.002501329201305,0.864,0.002,0.001,0.003,0.004,0.000223988778897,0.655,0.0,0.0,0.0,0.0,203.8141053961194,889.617,89.0855,3.6870000000000003,670.4782000000001,732.5319,0.265076116969699,54.358,0.043000000000000003,0.014,0.485,0.721,0.014073473254404001,1.111,0.013000000000000001,0.005,0.018000000000000002,0.021,0,0,0,0,0,0,203.53495580589257,889.573,88.8485,3.65,670.3012000000004,732.2635499999999,203.91785200202088,889.693035,89.201214,3.7563139999999997,670.5680666000001,732.6281044499999
12,asynccpuintensive,ep3,4,20,pywinder-wrk4-stp-none,,3235,10.773580513661408,3235,0,3235,10.773580513661408,25,1,25,25,0.004801854714065,0.76,0.002,0.001,0.002,0.003,0.0018003091190100001,0.326,0.0,0.0,0.0,0.0,2040.9307319938189,4758.233,1951.932,328.295,3633.2632,4190.8183,0.176391962905718,6.179,0.06,0.024,0.429,0.517,0.013762596599691002,0.123,0.012,0.007,0.016,0.027,0,0,0,0,0,0,2040.7405774343076,4758.182,1951.881,328.237,3633.1578,4190.7676,2040.9788470825356,4758.189572,1951.966757,328.377021,3633.2479083999997,4190.779670999999
13,syncsendingsyncrequests,ep3,4,1,pywinder-nologging-wrk4-stp-1,no logging in _handle__invocation_request,389,5.555081921749887,366,23,389,5.555081921749887,100,4,100,100,0.09650899742930501,1.8439999999999999,0.002,0.001,0.298399999999999,0.34779999999999905,0.07204884318766,1.7349999999999999,0.0,0.0,0.216399999999999,0.25159999999999905,3961.8177557840627,60006.771,204.547,45.618,1975.120199999999,60001.7754,0.0643264781491,1.017,0.045,0.0,0.06919999999999901,0.20059999999999903,0.024082262210796002,0.125,0.014,0.008,0.05619999999999901,0.06859999999999901,0,0,0,0,0,0,3961.7293470437025,60006.759,204.494,45.457,1975.062599999999,60001.736,3961.9157634524395,60005.270441,204.969014,45.717354,1975.1574399999988,60000.5314254
14,synccpuintensive,ep3,4,1,pywinder-nologging-wrk4-stp-1,no logging in _handle__invocation_request,3008,10.024409604014926,3008,0,3008,10.024409604014926,25,1,25,25,0.005069148936170001,0.843,0.002,0.001,0.003,0.004,0.0018533909574460002,0.386,0.0,0.0,0.0,0.0,2192.0717702792595,4570.79,2307.237,326.468,3826.6465000000017,4231.494250000001,0.178469414893616,5.222,0.054,0.025,0.45,0.54095,0.014378656914893002,0.195,0.013000000000000001,0.007,0.017,0.02,0,0,0,0,0,0,2191.8789222074474,4570.733,2307.0874999999996,326.389,3826.5067000000017,4231.43825,2192.118157833779,4570.77864,2307.269927,326.58022,3826.6417251000016,4231.4686874
15,synchtmlparsing,ep3,1,10,pywinder-nologging-wrk1-stp-10,no logging in _handle__invocation_request,12244,40.80824209704931,24488,0,12244,40.80824209704931,50,1,50,50,0.004209735380594,0.992,0.003,0.001,0.004,0.005,0.0008654851355760001,0.321,0.0,0.0,0.0,0.0,1072.8146048676922,3051.25,1176.1395,22.413,1466.9376,1538.261,0.10448750408363401,10.437,0.05,0.023,0.245,0.397,0.160777033649133,4.038,0.152,0.092,0.201,0.22485000000000002,0,0,0,0,0,0,1072.5493403299574,3051.078,1175.8785,22.254,1466.6866,1538.0241,1073.9296398043937,3052.096709,1177.2509949999999,23.553862,1468.4288213000002,1540.2255630000002
16,asyncsendingasyncrequests,ep3,4,10,pywinder-nologging-wrk4-stp-10,no logging in _handle__invocation_request,137454,458.1196702206286,137454,0,137454,458.1196702206286,100,1,100,100,0.0025062129876180003,1.0,0.002,0.001,0.003,0.004,0.00018393062406300002,0.535,0.0,0.0,0.0,0.0,201.8894768649875,1112.267,151.256,10.428,446.50789999999995,520.3898499999999,0.254930958720717,47.258,0.044,0.015,0.47500000000000003,0.703349999999991,0.014067789951538002,0.466,0.014,0.005,0.018000000000000002,0.02,0,0,0,0,0,0,201.6204781163153,1112.228,150.9925,10.386,446.1704,520.0685,201.98448292611485,1112.321989,151.3472725,10.514404,446.58439269999997,520.4695705
17,asynchelloworld,ep3,4,20,pywinder-wrk4-stp-none,,137441,458.0786510055168,274882,0,137441,458.0786510055168,100,1,100,100,0.0025641111458740004,1.775,0.002,0.001,0.003,0.004,0.000258532752235,1.6920000000000002,0.0,0.0,0.0,0.0,201.9472540799358,1426.832,98.58,3.95,599.293,698.5,0.26327244417601503,48.628,0.042,0.014,0.487,0.736,0.014112026251255001,1.084,0.013000000000000001,0.005,0.018000000000000002,0.021,0,0,0,0,0,0,201.66986960950564,1426.768,98.358,3.915,599.126,698.246,202.05013808528918,1426.96871,98.691951,4.017596,599.397137,698.586666
18,synccpuintensive,ep2,1,1,pywinder-wrk1-stp-1,,798,2.64131230166016,798,0,798,2.64131230166016,25,1,25,25,0.011667919799499,1.007,0.002,0.001,0.003,0.004,0.006516290726817001,0.374,0.0,0.0,0.0,0.0,8352.979136591484,17853.701,8874.567,2824.202,9047.3762,9420.28175,0.091511278195488,1.967,0.045,0.036000000000000004,0.21130000000000002,0.308449999999999,0.015209273182957,0.157,0.013000000000000001,0.009000000000000001,0.017,0.031,0,0,0,0,0,0,8352.872416040102,17853.417,8874.513500000001,2824.146,9047.3123,9420.0943,8353.450984248118,17854.432877,8875.115980999999,2824.231342,9047.2322548,9420.10499905
19,asyncsendingsyncrequests,ep3,1,10,pywinder-wrk1-stp-10,,4049,13.493802607063317,4048,1,4049,13.493802607063317,100,1,100,100,0.011552235119784001,0.792,0.002,0.001,0.003,0.003,0.006544084959249001,0.525,0.0,0.0,0.0,0.0,6892.867948629287,21059.932,4803.019,48.595,15657.885400000001,20576.9306,0.07339639417140001,1.949,0.047,0.036000000000000004,0.1092,0.23900000000000002,0.015392936527537001,0.135,0.014,0.01,0.016,0.027,0,0,0,0,0,0,6892.779159298591,21059.862,4802.922,48.541,15657.705800000002,20576.743599999998,6892.786030562835,21059.41662,4802.971135,48.723522,15657.530391400001,20576.4394558
